town,breast_cancer_rate,breast_cancer_number,HIV_rate,HIV_number,poverty_rate
ABINGTON,131.1,63,55.2,9,3.5
ACTON,195.8,100,48.7,10,
ACUSHNET,121.3,40,113.9,12,
ADAMS ,112.3,34,59.1,5,
AGAWAM,149.5,145,73.6,21,
ALFORD,,,0,0,
AMESBURY,130.9,63,78.2,13,
AMHERST,161.9,90,83.5,29,
ANDOVER,119.1,120,45.7,15,7.4
AQUINNAH,,,0,0,
ARLINGTON,152.8,220,126,52,3.9
ASHBURNHAM,132.5,19,,,
ASHBY,94.4,7,0,0,
ASHFIELD,193.5,11,,,
ASHLAND,191.4,81,110.2,17,
ATHOL,93.7,37,,,21.1
ATTLEBORO,146.2,180,92.2,40,9
AUBURN,107.3,60,115.9,19,
AVON,96.8,15,115.1,5,
AYER,107.8,20,152.5,11,15.7
BARNSTABLE,142.9,247,196.2,94,
BARRE,117.7,17,,,6
BECKET,130.7,7,0,0,
BEDFORD,156.9,65,,,
BELCHERTOWN ,144.2,52,86.3,12,
BELLINGHAM,174.3,68,57.2,9,0.1
BELMONT,151.2,121,89.5,21,5.6
BERKLEY,144.8,21,110.2,7,
BERLIN,80.1,7,0,0,
BERNARDSTON ,85.6,7,,,
BEVERLY ,121.3,154,90.4,36,
BILLERICA,125.7,128,77.9,31,
BLACKSTONE,118.9,26,,,
BLANDFORD,336.8,8,,,8.1
BOLTON,136.9,15,,,
BOSTON,128.9,1769,911.7,5091,21.4
BOURNE,144.9,91,108.5,21,13.2
BOXBOROUGH,120.3,15,,,
BOXFORD,214.1,46,,,1.7
BOYLSTON,186.7,23,,,
BRAINTREE,141.4,166,95.1,32,
BREWSTER,151.1,65,107.4,11,10.7
BRIDGEWATER,165,92,93.1,24,18.3
BRIMFIELD,108.7,10,,,
BROCKTON,117.6,306,393.6,395,17.9
BROOKFIELD,156.3,15,193.8,6,1.6
BROOKLINE,156.1,251,182.6,103,11.5
BUCKLAND,141.8,9,0,0,
